name,likes,retweet,reply's,tweeted
Rahul Khurana, 128,35,0,"A Muslim actress namd Nushrat Bharucha giving gyan to use condoms!

To whom? People of her community seen rioting on streets yesterday? Nah!

It's for Hindus so we facilitate our own future genocide! Isn't Muslims enjoying Indian privileges shd set the record straight?   #Bollywood"
Swapnila Gupta, 127, 58,3, (Jacqueline Fernandez) fashion.  #jacquelinefernandez   #fashion   #fashionstyle    #bollywood    #bollywoodstyle   #bollywoodfashion   #saree   #sareefashion
Sujil Kallissery Hrx, 94,11,0,
IndiaToday, 722, 179,26,
ETC Bollywood,0,0,0,
Karan Talwar,0,0,0,"How is this Concept  #waxdigitalart   .      
.
Art by   
. #JrNTR   #prabhas   #PrashanthNeel   #Salaar   #ntr31   #HombaleFilms    #bollywood    #panindia   #Tollywood   #Kollywood   #Hollywood   #jrntrfans   #prabhasfans   #kgf  "
ANMOL JAMWAL, 2059, 336,52,His Smile   #HrithikRoshan   #Hrithik    #Bollywood
Hrithik Roshan FC,0,0,0,#SonakshiSinha  is all praise for  #ShahRukhKhan  as she calls him the most 'Chivalrous Man' in   #Bollywood  .
ANMOL JAMWAL, 1710, 143,46,Handsome Hunk   for     #HrithikRoshan   #Hrithik    #Bollywood
IndiaToday, 723, 179,26,Wishing the gorgeous  #DishaPatani  a happy birthday   #IIFA    #Bollywood    #HappyBirthdayDishaPatani 
Jyothi Jha, 1539, 294,7,The supporting cast of this   #Bollywood   movie   #MaiHoonNa
ANMOL JAMWAL, 1346, 107,23,#Jawan  is coming soon. #ShahRukhKhan𓀠      #bollywood
Naresh Ravulapalli, 629, 172,5,I’m a bit late to the party but   is frickin’ AWESOME and available on      #RRRMovie    #bollywood    #netflix
Jason Ragosta, 2243, 317,9,"This new selfie by the stunning trio is sure to make your day!    #Lisa  of  #BLACKPINK ,  ,  #AnneHathaway     What's your fave selfie pose?    #Kpop    #Bollywood    #Hollywood   #PriyankaChopraJonas"
ETimes TV, 6,3,0,My Favourite Actor is  #Thala   #Ajithkumar  says.   #Bollywood   Actor  #RanbirKapoor   #AK61
IndiaToday, 724, 179,26,"#Bollywood   actor  #RajkummarRao ’s  #HitTheFirstCase  motion poster out
Sanya Malhotra essays the role of the female lead in the thriller"
Naresh Ravulapalli, 630, 172,5,Wishing the gorgeous  #DishaPatani  a happy birthday   #IIFA    #Bollywood    #HappyBirthdayDishaPatani 
IIFA, 9,3,0,#Jawan  is coming soon. #ShahRukhKhan𓀠      #bollywood
Urban Asian, 1486, 817,60,A lovely chat with the big man   sir about the Magnificient  #Major  Journey Check this out!  #IndiaLovesMAJOR    #Bollywood   Interview with him coming tomorrow 
Adivi Sesh, 4574, 986,26,#SonakshiSinha  is all praise for  #ShahRukhKhan  as she calls him the most 'Chivalrous Man' in   #Bollywood  .
ANMOL JAMWAL, 1710, 143,46,My Favourite Actor is  #Thala   #Ajithkumar  says.   #Bollywood   Actor  #RanbirKapoor   #AK61
IndiaToday, 729, 180,29,"How is this Concept  #waxdigitalart   .      
.
Art by   
. #JrNTR   #prabhas   #PrashanthNeel   #Salaar   #ntr31   #HombaleFilms    #bollywood    #panindia   #Tollywood   #Kollywood   #Hollywood   #jrntrfans   #prabhasfans   #kgf  "
Jason Ragosta, 2244, 317,9,The supporting cast of this   #Bollywood   movie   #MaiHoonNa
ANMOL JAMWAL, 1367, 108,23,   snapped at the airport   #bollywood    #bollywoodnews   #celebrity   #airportlook   #airportspotting   #airportdiaries   #karankundrra   #tejasswiprakash   #tejran
DailyEnt.Xpress, 181, 163,57,A Very Low-Key kinda Day......   with her quirky little post. #shehnaazgill   #beaurifuldiva   #sidnaaz    #bollywood    #southasian   #urbanasian
Urban Asian, 1486, 817,60,"This was the PEAK of   #Bollywood   award shows!
Entertaining & absolutely hilarious "
ANMOL JAMWAL, 2059, 336,52,#NaseeruddinShah  #NupurSharma   #NupurSharmaControversy    #Bollywood    #Islamophobia_in_india
IndiaToday, 729, 180,29,"How is this Concept  #waxdigitalart   .      
.
Art by   
. #JrNTR   #prabhas   #PrashanthNeel   #Salaar   #ntr31   #HombaleFilms    #bollywood    #panindia   #Tollywood   #Kollywood   #Hollywood   #jrntrfans   #prabhasfans   #kgf  "
Jason Ragosta, 2244, 317,9,The supporting cast of this   #Bollywood   movie   #MaiHoonNa
ANMOL JAMWAL, 1368, 108,23,#NaseeruddinShah  #NupurSharma   #NupurSharmaControversy    #Bollywood    #Islamophobia_in_india
टिंगु अभिनेता, 334, 98,5,   snapped at the airport   #bollywood    #bollywoodnews   #celebrity   #airportlook   #airportspotting   #airportdiaries   #karankundrra   #tejasswiprakash   #tejran
FilmiBeat, 1736, 370,7,"A Muslim actress namd Nushrat Bharucha giving gyan to use condoms!

To whom? People of her community seen rioting on streets yesterday? Nah!

It's for Hindus so we facilitate our own future genocide! Isn't Muslims enjoying Indian privileges shd set the record straight?   #Bollywood"
Animaus Images, 6,1 Retweet,0,"This was the PEAK of   #Bollywood   award shows!
Entertaining & absolutely hilarious "
IndiaToday, 733, 180,29,Actor  #Chiranjeevi  celebrates & honours 
Jason Ragosta, 2244, 317,9,
The NOMAD Doctor ,6,0,0,
IndiaToday, 735, 180,29,"Actor  #Chiranjeevi  celebrates & honours  #KamalHaasan  for  #Vikram 's success along with   #Bollywood  's bhaijaan,  #SalmanKhan  & filmmaker  #LokeshKanagaraj  at his residence last night."
Jyothi Jha, 1559, 297,7,The state of   #bollywood   no wonder it’s dying - Another  #Bindrakhia  hook ruined
Urban Asian, 1486, 817,60,A lovely chat with the big man   sir about the Magnificient  #Major  Journey Check this out!  #IndiaLovesMAJOR    #Bollywood   Interview with him coming tomorrow 
Adivi Sesh, 4573, 986,26,Absolutely Dreamy......   wearing all red for her wedding ceremony looking gorgeous. #nayanthara   #justmarried   #wedding    #bollywood    #southasian   #urbanasian
Lens Media, 18, 5,1,
ETC Bollywood,0,0,0,
Jason Ragosta, 2245, 317,9,Those who are telling Raone’ poster copied from batman begins! They don’t know batman’s father(2nd richest actor in the world) made veer zara in 2004.  #srk   #ShahRukhKhan𓀠   #jawan   #veerzara   #SRK    #Bollywood
टिंगु अभिनेता, 335, 98,5, (Jacqueline Fernandez) fashion.  #jacquelinefernandez   #fashion   #fashionstyle    #bollywood    #bollywoodstyle   #bollywoodfashion   #saree   #sareefashion
Urban Asian, 1486, 817,60,Absolutely Dreamy......   wearing all red for her wedding ceremony looking gorgeous. #nayanthara   #justmarried   #wedding    #bollywood    #southasian   #urbanasian
Urban Asian, 26, 11,1,#SonakshiSinha  is all praise for  #ShahRukhKhan  as she calls him the most 'Chivalrous Man' in   #Bollywood  .
Lens Media, 18, 5,1,
Gulf News,5,0,0,Shah Rukh Khan is ready to rule 2023  #Bollywood    #ShahRukhKhan   #SRK
ANMOL JAMWAL, 1402, 111,25,"How is this Concept  #waxdigitalart   .      
.
Art by   
. #JrNTR   #prabhas   #PrashanthNeel   #Salaar   #ntr31   #HombaleFilms    #bollywood    #panindia   #Tollywood   #Kollywood   #Hollywood   #jrntrfans   #prabhasfans   #kgf  "
Naresh Ravulapalli, 651, 175,5,#NaseeruddinShah  #NupurSharma   #NupurSharmaControversy    #Bollywood    #Islamophobia_in_india
FilmiBeat, 1738, 372,7,Those who are telling Raone’ poster copied from batman begins! They don’t know batman’s father(2nd richest actor in the world) made veer zara in 2004.  #srk   #ShahRukhKhan𓀠   #jawan   #veerzara   #SRK    #Bollywood
टिंगु अभिनेता, 336, 98,5,A lovely chat with the big man   sir about the Magnificient  #Major  Journey Check this out!  #IndiaLovesMAJOR    #Bollywood   Interview with him coming tomorrow 
SRK NATION, 25, 7,1,When  #Hrithik  fulfilled his childhood dream of meeting his idol    #HrithikRoshan   #MichaelJackson   #HR   #MJ    #Bollywood
ETC Bollywood,0,0,0,Shah Rukh Khan is ready to rule 2023  #Bollywood
The NOMAD Doctor ,6,0,0, (Jacqueline Fernandez) fashion.  #jacquelinefernandez   #fashion   #fashionstyle    #bollywood    #bollywoodstyle   #bollywoodfashion   #saree   #sareefashion
Cinema World SL,0,0,0,"This was the PEAK of   #Bollywood   award shows!
Entertaining & absolutely hilarious "
Urban Asian, 1486, 817,60,"A Muslim actress namd Nushrat Bharucha giving gyan to use condoms!

To whom? People of her community seen rioting on streets yesterday? Nah!

It's for Hindus so we facilitate our own future genocide! Isn't Muslims enjoying Indian privileges shd set the record straight?   #Bollywood"
Swapnila Gupta, 127, 58,3,When  #Hrithik  fulfilled his childhood dream of meeting his idol    #HrithikRoshan   #MichaelJackson   #HR   #MJ    #Bollywood
Lens Media, 18, 5,1,
ETC Bollywood,0,0,0,
IndiaToday, 752, 183,30,
ETC Bollywood,0,0,0,
Karan Talwar,0,0,0,
ETC Bollywood,0,0,0,Shah Rukh Khan is ready to rule 2023  #Bollywood 
Jyothi Jha, 1562, 297,7,Idiots in   #Bollywood   always around...u will find without efforts....
PPandya,0,0,0,   snapped at the airport   #bollywood    #bollywoodnews   #celebrity   #airportlook   #airportspotting   #airportdiaries   #karankundrra   #tejasswiprakash   #tejran
टिंगु अभिनेता, 335, 98,5,A Very Low-Key kinda Day......   with her quirky little post. #shehnaazgill   #beaurifuldiva   #sidnaaz    #bollywood    #southasian   #urbanasian
Urban Asian, 1486, 817,60,
The NOMAD Doctor ,6,0,0,
ETC Bollywood,0,0,0,
Karan Talwar,0,0,0,
IndiaToday, 775, 187,30,
ETC Bollywood,0,0,0,
Karan Talwar,0,0,0,
BollywoodParksDubai,0,0,0,#Jawan  is coming soon. #ShahRukhKhan𓀠      #bollywood
Atta Ur Rehman, 4356, 493,37,
IndiaToday, 776, 187,30,
IndiaToday, 777, 187,30,
ETC Bollywood,0,0,0,
IndiaToday, 777, 187,30,The supporting cast of this   #Bollywood 
Jyothi Jha, 1567, 297,7,
ETC Bollywood,0,0,0,
Karan Talwar,0,0,0,
Disha Patani,0,0,0,   snapped at the airport   #bollywood    #bollywoodnews   #celebrity   #airportlook   #airportspotting   #airportdiaries   #karankundrra   #tejasswiprakash   #tejran
टिंगु अभिनेता, 336, 98,5,
ETC Bollywood,0,0,0,Shah Rukh Khan is ready to rule 2023  #Bollywood    #ShahRukhKhan   #SRK
Gulf News,5,0,0,Shah Rukh Khan is ready to rule 2023  #Bollywood    #ShahRukhKhan   #SRK
ANMOL JAMWAL, 1462, 115,28,"How is this Concept  #waxdigitalart   .      
.
Art by   
. #JrNTR   #prabhas   #PrashanthNeel   #Salaar   #ntr31   #HombaleFilms    #bollywood    #panindia   #Tollywood   #Kollywood   #Hollywood   #jrntrfans   #prabhasfans   #kgf  "
Naresh Ravulapalli, 670, 177,6,
Karan Talwar,0,0,0,A Very Low-Key kinda Day......   with her quirky little post. #shehnaazgill   #beaurifuldiva   #sidnaaz    #bollywood    #southasian   #urbanasian
Urban Asian, 1486, 817,60,#NaseeruddinShah  #NupurSharma   #NupurSharmaControversy    #Bollywood    #Islamophobia_in_india
SRK NATION, 47, 10,1,#SonakshiSinha  is all praise for  #ShahRukhKhan  as she calls him the most 'Chivalrous Man' in   #Bollywood  .
IndiaToday, 781, 188,31,The supporting cast of this 
Gulf News,5,0,0,
ETC Bollywood,0,0,0,
India.com, 2,2,0,"#Bollywood   actor  #RajkummarRao ’s  #HitTheFirstCase  motion poster out
Sanya Malhotra essays the role of the female lead in the thriller"
Bollywood Spy media, 826, 424,14,A lovely chat with the big man   sir about the Magnificient  #Major  Journey Check this out!  #IndiaLovesMAJOR    #Bollywood   Interview with him coming tomorrow 
Adivi Sesh, 4579, 988,26,"This was the PEAK of   #Bollywood   award shows!
Entertaining & absolutely hilarious "
Urban Asian, 1486, 817,61,The state of   #bollywood   no wonder it’s dying - Another  #Bindrakhia  hook ruined
DailyEnt.Xpress, 328, 289,118,Blessing your tl tonight: Madhubala! #IndianCinema   #Bollywood
Femina, 3269, 1142,71,#ApnaThought Loveeely in White  #Bollywood    #RamCharan   #RRR   #actor  #model   #handsome
India.com, 2,2,0,The only one who can make a monday evening wholesome.. #ShehnaazGill   #hoslarakh    #Bollywood    #Tollywood
ETC Bollywood,0,0,0,
Karan Talwar,0,0,0,Good noon..  #janhvikapoorhot   #JanhviKapoor   #MondayMotivation    #Bollywood    #bollywoodactress
Urban Asian, 1485, 818,61,Missing the self made superstar of   #Bollywood   my favourite  #SushantSinghRajput  
Ayush, 16,9,0,
IndiaToday, 4,3,0,
ETC Bollywood,0,0,0,
Karan Talwar,0,0,0,
IndiaToday, 4,3,0,
ETC Bollywood,0,0,0,
Karan Talwar,0,0,0,#SonakshiSinha  is all praise for  #ShahRukhKhan  as she calls him the most 'Chivalrous Man' in   #Bollywood  .
ANMOL JAMWAL, 2063, 337,52,A lovely chat with the big man   sir about the Magnificient  #Major  Journey Check this out!  #IndiaLovesMAJOR    #Bollywood   Interview with him coming tomorrow 
Adivi Sesh, 4581, 987,26,
ASD News, 9, 4,1,
IndiaToday, 4,3,0,
ETC Bollywood,0,0,0,
Karan Talwar,0,0,0,A lovely chat with the big man   sir about the Magnificient  #Major  Journey Check this out!  #IndiaLovesMAJOR    #Bollywood   Interview with him coming tomorrow 
Urban Asian, 1486, 817,61,Underrated Comedy duo in   #Bollywood   
ANMOL JAMWAL, 1708, 143,46,   snapped at the airport   #bollywood    #bollywoodnews   #celebrity   #airportlook   #airportspotting   #airportdiaries   #karankundrra   #tejasswiprakash   #tejran
Elite, 220, 35,6,What a logic !  #rip    #Bollywood    #MedTwitter
Gulf News,5,0,0,#Bollywood   actor  #SiddhanthKapoor  is being questioned by police after being granted bail in the drugs case against him. Police have also confiscated his mobile phone to look for chats about narcotics. #DrugsCase   #Police  | Karthik K
ANMOL JAMWAL, 1348, 165,49,The only one who can make a monday evening wholesome.. #ShehnaazGill   #hoslarakh    #Bollywood    #Tollywood
Bollywood Spy media, 962, 481,14,
BollywoodParksDubai,0,0,0,
Jason Ragosta, 2289, 326,11,Mystic and Majestic.....
ℝ𝕒𝕞 𝕔𝕙𝕒𝕣𝕒𝕟, 900, 297,37,
